QA_No,Question,Answer
1,憑證別代號該如何輸入或下載？,"憑證別代號輸入：
統一發票（三聯式）：1
電子發票（格式 25）：6
高鐵、火車票（收銀機發票）：5
一般收據憑證：Y
下載代號表：點此下載憑證別代號表(https://www.dropbox.com/scl/fi/nja7liklgqunive54a4bd/20190403.ppt?rlkey=ro4lk4jrby5epv43xb829mtsr&e=1&st=h4l0r9cx&dl=0)。"
2,我的高鐵票遺失，怎麼辦？,"高鐵票無憑證按標準車廂票價53 折報支，並以離最近廠區的車站為起點。
高鐵票或車票遺失時，應循以下方法辦理
1. 高鐵票或車票遺失者，請洽原單位補發或上網列印，如仍無法取得僅可以無憑證報支。
2. 搭乘高鐵無憑證者，依標準車廂票價 53 折報支，四捨五入計算。
3. 高鐵票或車票遺失一律以離最近廠區的車站報支。
4. 搭乘火車無憑證者，依最高艙等自強號票價報支(例如內湖大樓為松山車站)。"
3,住宿費是否可以透過Agoda進行訂房？,"規定限制：不允許透過 Agoda 或其他海外訂房網站（如 Booking、Expedia、Hotels、Airbnb）進行訂房。
原因：使用海外訂房平台可能導致公司稅務損失，會計將退件處理。
正確做法：應選擇到店付款方式，並取得列有公司統編的發票。"
4,出差旅費報銷單的填寫期限是多久？,一星期內。 出差報銷應於銷差後一星期內填具**出差旅費報銷單**，並檢附相關報支憑證。
5,出差可以申請的旅費項目有哪些?,"出差旅費分為以下五大項目：
 1. 住宿費
 2. 交通費
 3. 膳費
 4. 雜費
 5. 計程車費"
6,出差是否可以申請加班費？,"不行。提早或延遲出差：如因公務需求，需提前於正常工作時間前出差，或於銷
差時晚於正常下班時間，不計加班處理。"
7,出差住宿費一日的申請上限是多少？,"經營主管以上層級，外宿取得憑證可實報實銷。
一級主管（含）以下外宿取得憑證，台北市上限為2,600 元。
一級主管（含）以下外宿取得憑證，其他縣市上限為1,800 元。"
8,膳費可以申請的金額是多少？,"外勤時間超過三小時
報支標準依照起程和銷差時間：
 -早餐費：100 元
 -午餐費：160 元
 -晚餐費：160 元"
9,出差時雜費一天多少？,"依不同職位區分金額
 經營主管（含）以上：一天 8 小時的雜費為 280 元。
 一級主管（含）以下：一天 8 小時的雜費為 180 元。"
10,計程車費共乘規定？,"計程車共乘定義
非單獨出差者，除非從住處啟程，其他路段皆需共乘。
範例：從內湖大樓到台北車站不受共乘限制，但從嘉義高鐵站前往新港
廠區則需共乘。"
11,申請計程車費需要提供憑證嗎？,不需要。計程車不需檢附憑證(發票及收據)。
12,如果住宿地點免費供餐，膳費還能報支嗎？,住宿地點若免費供餐，該餐膳費不可重複報支，特殊情況需附說明並審核核准。
13,報銷單何時需經營主管的簽核？," 需要經營主管核簽的報銷單
1. 提早出差且搭乘高鐵前往。
2. 招待所未客滿，但因保密需要或任務需求，需外宿飯店。
3. 低階人員隨高階人員出差，搭乘的交通工具及住宿費用超過規定者。
4. 出差至麥寮廠區，未搭乘交通車而搭乘高鐵前往者。
5. 非標準計程車資，超過 700 元以上。"
14,使用私有車輛出差的報支規定是什麼？,若需自行開車使用私有車輛，需依「私車公用管理辦法」辦理，並於 OA 系統中以私車公用進行傳簽報銷。
15,出差報銷時應填寫的公司統編是什麼？,發票及收據的買受人須填入本公司統編：75370905。
16,高鐵票在憑證別代號中該填寫什麼？,報銷單的高鐵車票或火車票的憑證別打 5。
17,樹林廠區可以申請哪個火車站作為出發地？,板橋火車站（最近的火車站）
18,膳費報支需要憑證嗎?,不需要憑證。
19,公司招待所客滿，怎麼證明可以換旅館？,會計審核時會根據單據黏貼單，判斷是否有辦理入住申請及提供客滿證明資料，以決定是否可外宿。
20,如何查詢報銷的憑證類別和代號？,"如不清楚憑證別如何輸入，可至公司知識庫中查詢「**報銷憑證類別圖示對照**」。
憑證代號下載：[憑證代號下載
點](https://www.dropbox.com/scl/fi/nja7liklgqunive54a4bd/20190403.ppt?rlkey=ro4lk4jrby5epv43xb829mtsr&st=h4l0r9cx&dl=0)。
知識庫連結：[知識庫在這裡](http://tpeisweb00/Search/Result)"
